ENTREZID	PATHWAY_TERM	SYMBOL	perc.genes
23552	NA	CDK20	0.861578890914942
23552	Axon guidance mediated by semaphorins	CDK20	0.0102434838571275
23552	Cell cycle	CDK20	0.00488040330365762
23552	Dopamine receptor mediated signaling pathway	CDK20	0.0150166255497158
23552	EGF receptor signaling pathway	CDK20	0.0227930923522471
23552	Insulin/IGF pathway-protein kinase B signaling cascade	CDK20	0.011584253995495
23552	Nicotine pharmacodynamics pathway	CDK20	0.0144803174943688
23552	PDGF signaling pathway	CDK20	0.0322321141263542
23552	p53 pathway	CDK20	0.0235975544352676
23552	p53 pathway feedback loops 2	CDK20	0.0127105009117237
23553	NA	HYAL4	0.861578890914942
23554	NA	TSPAN12	0.861578890914942
23554	p53 pathway	TSPAN12	0.0235975544352676
23555	NA	TSPAN15	0.861578890914942
23555	p53 pathway	TSPAN15	0.0235975544352676
23556	NA	PIGN	0.861578890914942
23557	NA	SNAPIN	0.861578890914942
23558	NA	WBP2	0.861578890914942
23559	NA	WBP1	0.861578890914942
2356	Formyltetrahydroformate biosynthesis	FPGS	0.000750831277485788
2356	Tetrahydrofolate biosynthesis	FPGS	0.000321784833208195
23560	NA	GTPBP4	0.861578890914942
23562	NA	CLDN14	0.861578890914942
23563	NA	CHST5	0.861578890914942
23564	NA	DDAH2	0.861578890914942
23566	NA	LPAR3	0.861578890914942
23566	Endogenous cannabinoid signaling	LPAR3	0.00536308055346991
23567	NA	ZNF346	0.861578890914942
23567	p53 pathway	ZNF346	0.0235975544352676
23568	NA	ARL2BP	0.861578890914942
23569	NA	PADI4	0.861578890914942
2357	Inflammation mediated by chemokine and cytokine signaling pathway	FPR1	0.0403839965676284
23576	NA	DDAH1	0.861578890914942
2358	Inflammation mediated by chemokine and cytokine signaling pathway	FPR2	0.0403839965676284
23580	NA	CDC42EP4	0.861578890914942
23581	NA	CASP14	0.861578890914942
23581	Angiogenesis	CASP14	0.0381851335407058
23581	Apoptosis signaling pathway	CASP14	0.0195216132146305
23581	CCKR signaling map	CASP14	0.0578140083664057
23581	FAS signaling pathway	CASP14	0.0138367478279524
23581	Huntington disease	CASP14	0.0274053416282313
23581	PI3 kinase pathway	CASP14	0.0210232757696021
23581	VEGF signaling pathway	CASP14	0.0212914297972756
23582	NA	CCNDBP1	0.861578890914942
23583	NA	SMUG1	0.861578890914942
23584	NA	VSIG2	0.861578890914942
23585	NA	TMEM50A	0.861578890914942
23586	NA	DDX58	0.861578890914942
23587	NA	ELP5	0.861578890914942
23588	NA	KLHDC2	0.861578890914942
23589	NA	CARHSP1	0.861578890914942
2359	Inflammation mediated by chemokine and cytokine signaling pathway	FPR3	0.0403839965676284
23590	Cholesterol biosynthesis	PDSS1	0.000804462083020487
23592	NA	LEMD3	0.861578890914942
23593	NA	HEBP2	0.861578890914942
23594	NA	ORC6	0.861578890914942
23595	NA	ORC3	0.861578890914942
23596	NA	OPN3	0.861578890914942
23596	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction	OPN3	0.00981443741284994
23597	NA	ACOT9	0.861578890914942
23598	NA	PATZ1	0.861578890914942
23600	Carnitine metabolism	AMACR	0.000107261611069398
23600	Coenzyme A linked carnitine metabolism	AMACR	0.000107261611069398
23601	NA	CLEC5A	0.861578890914942
23603	NA	CORO1C	0.861578890914942
23604	NA	DAPK2	0.861578890914942
23607	NA	CD2AP	0.861578890914942
23608	NA	MKRN1	0.861578890914942
23609	NA	MKRN2	0.861578890914942
23612	NA	PHLDA3	0.861578890914942
23613	NA	ZMYND8	0.861578890914942
23616	NA	SH3BP1	0.861578890914942
23617	NA	TSSK2	0.861578890914942
23617	Gonadotropin-releasing hormone receptor pathway	TSSK2	0.0669312453073045
23617	p53 pathway by glucose deprivation	TSSK2	0.00713289713611498
23620	NA	NTSR2	0.861578890914942
23620	CCKR signaling map	NTSR2	0.0578140083664057
23620	Endothelin signaling pathway	NTSR2	0.0129250241338625
23620	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction	NTSR2	0.00981443741284994
23620	Parkinson disease	NTSR2	0.0168937037434302
23620	Thyrotropin-releasing hormone receptor signaling pathway	NTSR2	0.00927812935750295
23621	Alzheimer disease-amyloid secretase pathway	BACE1	0.0114769923844256
23621	Alzheimer disease-presenilin pathway	BACE1	0.0163037648825485
23623	NA	RUSC1	0.861578890914942
23624	EGF receptor signaling pathway	CBLC	0.0227930923522471
23625	NA	FAM89B	0.861578890914942
23626	NA	SPO11	0.861578890914942
23627	NA	PRND	0.861578890914942
23630	NA	KCNE5	0.861578890914942
23632	NA	CA14	0.861578890914942
23633	NA	KPNA6	0.861578890914942
23635	NA	SSBP2	0.861578890914942
23636	NA	NUP62	0.861578890914942
23637	NA	RABGAP1	0.861578890914942
23639	NA	LRRC6	0.861578890914942
23640	NA	HSPBP1	0.861578890914942
23641	NA	LDOC1	0.861578890914942
23643	Toll receptor signaling pathway	LY96	0.014802102327577
23644	NA	EDC4	0.861578890914942
23645	NA	PPP1R15A	0.861578890914942
23646	NA	PLD3	0.861578890914942
23647	Huntington disease	ARFIP2	0.0274053416282313
23647	Ionotropic glutamate receptor pathway	ARFIP2	0.0062211734420251
23648	NA	SSBP3	0.861578890914942
23649	NA	POLA2	0.861578890914942
23650	NA	TRIM29	0.861578890914942
23654	NA	PLXNB2	0.861578890914942
23654	Axon guidance mediated by semaphorins	PLXNB2	0.0102434838571275
23657	NA	SLC7A11	0.861578890914942
23658	NA	LSM5	0.861578890914942
23659	NA	PLA2G15	0.861578890914942
23660	NA	ZKSCAN5	0.861578890914942
23670	NA	CEMIP2	0.861578890914942
23671	NA	TMEFF2	0.861578890914942
23671	Axon guidance mediated by Slit/Robo	TMEFF2	0.010511637884801
23671	Axon guidance mediated by netrin	TMEFF2	0.00568486538667811
23671	Integrin signalling pathway	TMEFF2	0.0322857449318889
23673	Adrenaline and noradrenaline biosynthesis	STX12	0.00407594122063713
23673	Parkinson disease	STX12	0.0168937037434302
23673	5HT1 type receptor mediated signaling pathway	STX12	0.00793735921913547
23673	5HT2 type receptor mediated signaling pathway	STX12	0.0109406843290786
23673	5HT3 type receptor mediated signaling pathway	STX12	0.0062211734420251
23673	5HT4 type receptor mediated signaling pathway	STX12	0.0063820658586292
23673	Alpha adrenergic receptor signaling pathway	STX12	0.0062748042475598
23673	Beta1 adrenergic receptor signaling pathway	STX12	0.00750831277485788
23673	Beta2 adrenergic receptor signaling pathway	STX12	0.00750831277485788
23673	Beta3 adrenergic receptor signaling pathway	STX12	0.00514855733133112
23673	Cortocotropin releasing factor receptor signaling pathway	STX12	0.0058993886088169
23673	Dopamine receptor mediated signaling pathway	STX12	0.0150166255497158
23673	Ionotropic glutamate receptor pathway	STX12	0.0062211734420251
23673	Metabotropic glutamate receptor group II pathway	STX12	0.0062211734420251
23673	Metabotropic glutamate receptor group III pathway	STX12	0.00799099002467017
23673	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	STX12	0.0101898530515928
23673	Muscarinic acetylcholine receptor 2 and 4 signaling pathway	STX12	0.00777646680253137
23673	Nicotinic acetylcholine receptor signaling pathway	STX12	0.0144266866888341
23673	Opioid prodynorphin pathway	STX12	0.00530944974793521
23673	Opioid proenkephalin pathway	STX12	0.0060066502198863
23673	Opioid proopiomelanocortin pathway	STX12	0.0058993886088169
23673	Oxytocin receptor mediated signaling pathway	STX12	0.00842003646894776
23673	Synaptic vesicle trafficking	STX12	0.00858092888555186
23673	Thyrotropin-releasing hormone receptor signaling pathway	STX12	0.00927812935750295
23676	NA	SMPX	0.861578890914942
23677	NA	SH3BP4	0.861578890914942
23678	NA	SGK3	0.861578890914942
23678	5HT2 type receptor mediated signaling pathway	SGK3	0.0109406843290786
23678	Alpha adrenergic receptor signaling pathway	SGK3	0.0062748042475598
23678	Alzheimer disease-amyloid secretase pathway	SGK3	0.0114769923844256
23678	Angiogenesis	SGK3	0.0381851335407058
23678	Angiotensin II-stimulated signaling through G proteins and beta-arrestin	SGK3	0.0139976402445565
23678	Apoptosis signaling pathway	SGK3	0.0195216132146305
23678	B cell activation	SGK3	0.0215059530194144
23678	CCKR signaling map	SGK3	0.0578140083664057
23678	EGF receptor signaling pathway	SGK3	0.0227930923522471
23678	Endothelin signaling pathway	SGK3	0.0129250241338625
23678	FAS signaling pathway	SGK3	0.0138367478279524
23678	FGF signaling pathway	SGK3	0.0230612463799206
23678	Gonadotropin-releasing hormone receptor pathway	SGK3	0.0669312453073045
23678	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	SGK3	0.0230076155743859
23678	Histamine H1 receptor mediated signaling pathway	SGK3	0.00509492652579642
23678	Huntington disease	SGK3	0.0274053416282313
23678	Hypoxia response via HIF activation	SGK3	0.00573849619221281
23678	Inflammation mediated by chemokine and cytokine signaling pathway	SGK3	0.0403839965676284
23678	Insulin/IGF pathway-protein kinase B signaling cascade	SGK3	0.011584253995495
23678	Interleukin signaling pathway	SGK3	0.024777432157031
23678	Metabotropic glutamate receptor group I pathway	SGK3	0.006060281025421
23678	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	SGK3	0.0101898530515928
23678	Oxytocin receptor mediated signaling pathway	SGK3	0.00842003646894776
23678	PDGF signaling pathway	SGK3	0.0322321141263542
23678	PI3 kinase pathway	SGK3	0.0210232757696021
23678	Ras Pathway	SGK3	0.0177517966319854
23678	T cell activation	SGK3	0.0224176767135042
23678	Thyrotropin-releasing hormone receptor signaling pathway	SGK3	0.00927812935750295
23678	VEGF signaling pathway	SGK3	0.0212914297972756
23678	Wnt signaling pathway	SGK3	0.0381315027351711
23678	p53 pathway	SGK3	0.0235975544352676
23678	p53 pathway by glucose deprivation	SGK3	0.00713289713611498
23678	p53 pathway feedback loops 2	SGK3	0.0127105009117237
23682	NA	RAB38	0.861578890914942
23682	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	RAB38	0.0230076155743859
23682	Huntington disease	RAB38	0.0274053416282313
23682	Integrin signalling pathway	RAB38	0.0322857449318889
23682	PDGF signaling pathway	RAB38	0.0322321141263542
23682	Synaptic vesicle trafficking	RAB38	0.00858092888555186
23682	TGF-beta signaling pathway	RAB38	0.0191998283814223
23683	5HT2 type receptor mediated signaling pathway	PRKD3	0.0109406843290786
23683	Angiogenesis	PRKD3	0.0381851335407058
23683	EGF receptor signaling pathway	PRKD3	0.0227930923522471
23683	Endothelin signaling pathway	PRKD3	0.0129250241338625
23683	Histamine H1 receptor mediated signaling pathway	PRKD3	0.00509492652579642
23683	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	PRKD3	0.0101898530515928
23683	Oxytocin receptor mediated signaling pathway	PRKD3	0.00842003646894776
23683	Thyrotropin-releasing hormone receptor signaling pathway	PRKD3	0.00927812935750295
23683	VEGF signaling pathway	PRKD3	0.0212914297972756
23683	CCKR signaling map	PRKD3	0.0578140083664057
23704	NA	KCNE4	0.861578890914942
23705	NA	CADM1	0.861578890914942
23705	Alzheimer disease-presenilin pathway	CADM1	0.0163037648825485
23708	NA	GSPT2	0.861578890914942
23710	NA	GABARAPL1	0.861578890914942
23729	NA	SHPK	0.861578890914942
23729	Ascorbate degradation	SHPK	0.000429046444277593
23731	NA	TMEM245	0.861578890914942
23732	NA	FRRS1L	0.861578890914942
23741	NA	EID1	0.861578890914942
23742	NA	NPAP1	0.861578890914942
23743	NA	BHMT2	0.861578890914942
23743	Formyltetrahydroformate biosynthesis	BHMT2	0.000750831277485788
23743	Heme biosynthesis	BHMT2	0.000911723694089885
23743	Methionine biosynthesis	BHMT2	0.000321784833208195
23743	S-adenosylmethionine biosynthesis	BHMT2	0.000375415638742894
23746	NA	AIPL1	0.861578890914942
23759	NA	PPIL2	0.861578890914942
23760	NA	PITPNB	0.861578890914942
23761	NA	PISD	0.861578890914942
23762	NA	OSBP2	0.861578890914942
23764	NA	MAFF	0.861578890914942
23765	NA	IL17RA	0.861578890914942
23767	NA	FLRT3	0.861578890914942
23768	NA	FLRT2	0.861578890914942
23769	NA	FLRT1	0.861578890914942
23770	NA	FKBP8	0.861578890914942
23770	TGF-beta signaling pathway	FKBP8	0.0191998283814223
23774	NA	BRD1	0.861578890914942
23779	Angiogenesis	ARHGAP8	0.0381851335407058
23779	Cytoskeletal regulation by Rho GTPase	ARHGAP8	0.0153920411884587
23779	PDGF signaling pathway	ARHGAP8	0.0322321141263542
23779	VEGF signaling pathway	ARHGAP8	0.0212914297972756
23780	NA	APOL2	0.861578890914942
23784	NA	POTEH	0.861578890914942
23784	Inflammation mediated by chemokine and cytokine signaling pathway	POTEH	0.0403839965676284
23784	Toll receptor signaling pathway	POTEH	0.014802102327577
23786	NA	BCL2L13	0.861578890914942
23787	NA	MTCH1	0.861578890914942
23788	NA	MTCH2	0.861578890914942
238	NA	ALK	0.861578890914942
238	Alzheimer disease-presenilin pathway	ALK	0.0163037648825485
238	Angiogenesis	ALK	0.0381851335407058
238	Cadherin signaling pathway	ALK	0.0174300117987772
238	EGF receptor signaling pathway	ALK	0.0227930923522471
238	FGF signaling pathway	ALK	0.0230612463799206
238	Gonadotropin-releasing hormone receptor pathway	ALK	0.0669312453073045
238	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	ALK	0.0134613321892095
238	Insulin/IGF pathway-protein kinase B signaling cascade	ALK	0.011584253995495
238	PDGF signaling pathway	ALK	0.0322321141263542
238	PI3 kinase pathway	ALK	0.0210232757696021
238	VEGF signaling pathway	ALK	0.0212914297972756
239	Inflammation mediated by chemokine and cytokine signaling pathway	ALOX12	0.0403839965676284
239	Gonadotropin-releasing hormone receptor pathway	ALOX12	0.0669312453073045
2395	NA	FXN	0.861578890914942
24	NA	ABCA4	0.861578890914942
240	NA	ALOX5	0.861578890914942
240	Gonadotropin-releasing hormone receptor pathway	ALOX5	0.0669312453073045
240	Inflammation mediated by chemokine and cytokine signaling pathway	ALOX5	0.0403839965676284
241	Inflammation mediated by chemokine and cytokine signaling pathway	ALOX5AP	0.0403839965676284
24137	NA	KIF4A	0.861578890914942
24137	Hedgehog signaling pathway	KIF4A	0.00756194358039258
24138	NA	IFIT5	0.861578890914942
24139	NA	EML2	0.861578890914942
24140	NA	FTSJ1	0.861578890914942
24141	NA	LAMP5	0.861578890914942
24142	NA	NAA80	0.861578890914942
24144	NA	TFIP11	0.861578890914942
24145	NA	PANX1	0.861578890914942
24146	NA	CLDN15	0.861578890914942
24147	NA	FJX1	0.861578890914942
24148	NA	PRPF6	0.861578890914942
24149	NA	ZNF318	0.861578890914942
242	NA	ALOX12B	0.861578890914942
242	Gonadotropin-releasing hormone receptor pathway	ALOX12B	0.0669312453073045
242	Inflammation mediated by chemokine and cytokine signaling pathway	ALOX12B	0.0403839965676284
2444	Axon guidance mediated by semaphorins	FRK	0.0102434838571275
2444	B cell activation	FRK	0.0215059530194144
2444	Cadherin signaling pathway	FRK	0.0174300117987772
2444	Integrin signalling pathway	FRK	0.0322857449318889
2444	Parkinson disease	FRK	0.0168937037434302
2444	Angiogenesis	FRK	0.0381851335407058
2444	Axon guidance mediated by Slit/Robo	FRK	0.010511637884801
2444	CCKR signaling map	FRK	0.0578140083664057
2444	Dopamine receptor mediated signaling pathway	FRK	0.0150166255497158
2444	EGF receptor signaling pathway	FRK	0.0227930923522471
2444	FGF signaling pathway	FRK	0.0230612463799206
2444	Gonadotropin-releasing hormone receptor pathway	FRK	0.0669312453073045
2444	Inflammation mediated by chemokine and cytokine signaling pathway	FRK	0.0403839965676284
2444	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	FRK	0.0134613321892095
2444	Interferon-gamma signaling pathway	FRK	0.00670385069183739
2444	Interleukin signaling pathway	FRK	0.024777432157031
2444	JAK/STAT signaling pathway	FRK	0.00568486538667811
2444	Nicotine pharmacodynamics pathway	FRK	0.0144803174943688
2444	PDGF signaling pathway	FRK	0.0322321141263542
2444	PI3 kinase pathway	FRK	0.0210232757696021
2444	Ras Pathway	FRK	0.0177517966319854
2444	T cell activation	FRK	0.0224176767135042
2444	VEGF signaling pathway	FRK	0.0212914297972756
245711	NA	SPDYA	0.861578890914942
245802	NA	MS4A6E	0.861578890914942
245806	NA	VGLL2	0.861578890914942
245812	NA	CNPY4	0.861578890914942
245908	NA	DEFB105A	0.861578890914942
245909	NA	DEFB106A	0.861578890914942
245910	NA	DEFB107A	0.861578890914942
245911	NA	DEFB108B	0.861578890914942
245913	NA	DEFB110	0.861578890914942
245915	NA	DEFB112	0.861578890914942
245927	NA	DEFB113	0.861578890914942
245929	NA	DEFB115	0.861578890914942
245930	NA	DEFB116	0.861578890914942
245932	NA	DEFB119	0.861578890914942
245934	NA	DEFB121	0.861578890914942
245936	NA	DEFB123	0.861578890914942
245937	NA	DEFB124	0.861578890914942
245938	NA	DEFB125	0.861578890914942
245939	NA	DEFB128	0.861578890914942
245972	NA	ATP6V0D2	0.861578890914942
245973	NA	ATP6V1C2	0.861578890914942
246	Gonadotropin-releasing hormone receptor pathway	ALOX15	0.0669312453073045
246	Inflammation mediated by chemokine and cytokine signaling pathway	ALOX15	0.0403839965676284
246100	NA	CTAG1A	0.861578890914942
246175	NA	CNOT6L	0.861578890914942
246176	NA	GAS2L2	0.861578890914942
246181	NA	AKR7L	0.861578890914942
246181	Vitamin B6 metabolism	AKR7L	0.000482677249812292
246184	NA	CDC26	0.861578890914942
246213	Ionotropic glutamate receptor pathway	SLC17A8	0.0062211734420251
246213	Metabotropic glutamate receptor group III pathway	SLC17A8	0.00799099002467017
246243	DNA replication	RNASEH1	0.00359326397082484
246269	NA	AFG1L	0.861578890914942
246329	NA	STAC3	0.861578890914942
246330	NA	PELI3	0.861578890914942
246721	NA	POLR2J2	0.861578890914942
246721	General transcription by RNA polymerase I	POLR2J2	0.00273517108226966
246777	NA	SPESP1	0.861578890914942
246778	NA	IL27	0.861578890914942
247	NA	ALOX15B	0.861578890914942
247	Gonadotropin-releasing hormone receptor pathway	ALOX15B	0.0669312453073045
247	Inflammation mediated by chemokine and cytokine signaling pathway	ALOX15B	0.0403839965676284
2475	Hypoxia response via HIF activation	MTOR	0.00573849619221281
2475	Interleukin signaling pathway	MTOR	0.024777432157031
2475	PDGF signaling pathway	MTOR	0.0322321141263542
2475	p53 pathway by glucose deprivation	MTOR	0.00713289713611498
2475	EGF receptor signaling pathway	MTOR	0.0227930923522471
2475	p53 pathway	MTOR	0.0235975544352676
2475	p53 pathway feedback loops 2	MTOR	0.0127105009117237
248	NA	ALPI	0.861578890914942
2483	NA	FRG1	0.861578890914942
2487	Angiogenesis	FRZB	0.0381851335407058
2487	Wnt signaling pathway	FRZB	0.0381315027351711
2487	Alzheimer disease-presenilin pathway	FRZB	0.0163037648825485
2487	Cadherin signaling pathway	FRZB	0.0174300117987772
2487	Hedgehog signaling pathway	FRZB	0.00756194358039258
2488	Gonadotropin-releasing hormone receptor pathway	FSHB	0.0669312453073045
2488	Thyrotropin-releasing hormone receptor signaling pathway	FSHB	0.00927812935750295
249	NA	ALPL	0.861578890914942
2491	NA	CENPI	0.861578890914942
2492	NA	FSHR	0.861578890914942
2494	NA	NR5A2	0.861578890914942
2494	Gonadotropin-releasing hormone receptor pathway	NR5A2	0.0669312453073045
2495	NA	FTH1	0.861578890914942
25	Axon guidance mediated by Slit/Robo	ABL1	0.010511637884801
25	Integrin signalling pathway	ABL1	0.0322857449318889
25	Angiogenesis	ABL1	0.0381851335407058
25	Axon guidance mediated by semaphorins	ABL1	0.0102434838571275
25	B cell activation	ABL1	0.0215059530194144
25	CCKR signaling map	ABL1	0.0578140083664057
25	Cadherin signaling pathway	ABL1	0.0174300117987772
25	Dopamine receptor mediated signaling pathway	ABL1	0.0150166255497158
25	EGF receptor signaling pathway	ABL1	0.0227930923522471
25	FGF signaling pathway	ABL1	0.0230612463799206
25	Gonadotropin-releasing hormone receptor pathway	ABL1	0.0669312453073045
25	Inflammation mediated by chemokine and cytokine signaling pathway	ABL1	0.0403839965676284
25	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	ABL1	0.0134613321892095
25	Interferon-gamma signaling pathway	ABL1	0.00670385069183739
25	Interleukin signaling pathway	ABL1	0.024777432157031
25	JAK/STAT signaling pathway	ABL1	0.00568486538667811
25	Nicotine pharmacodynamics pathway	ABL1	0.0144803174943688
25	PDGF signaling pathway	ABL1	0.0322321141263542
25	PI3 kinase pathway	ABL1	0.0210232757696021
25	Parkinson disease	ABL1	0.0168937037434302
25	Ras Pathway	ABL1	0.0177517966319854
25	T cell activation	ABL1	0.0224176767135042
25	VEGF signaling pathway	ABL1	0.0212914297972756
250	NA	ALPP	0.861578890914942
251	NA	ALPG	0.861578890914942
2512	NA	FTL	0.861578890914942
2515	NA	ADAM2	0.861578890914942
2515	Alzheimer disease-amyloid secretase pathway	ADAM2	0.0114769923844256
2515	Alzheimer disease-presenilin pathway	ADAM2	0.0163037648825485
2515	Notch signaling pathway	ADAM2	0.00536308055346991
2516	Gonadotropin-releasing hormone receptor pathway	NR5A1	0.0669312453073045
2517	NA	FUCA1	0.861578890914942
2519	NA	FUCA2	0.861578890914942
2520	CCKR signaling map	GAST	0.0578140083664057
2521	NA	FUS	0.861578890914942
2523	NA	FUT1	0.861578890914942
2524	NA	FUT2	0.861578890914942
2525	NA	FUT3	0.861578890914942
2526	NA	FUT4	0.861578890914942
2527	NA	FUT5	0.861578890914942
2528	NA	FUT6	0.861578890914942
252839	NA	TMEM9	0.861578890914942
252884	NA	ZNF396	0.861578890914942
2529	NA	FUT7	0.861578890914942
252969	NA	NEIL2	0.861578890914942
252983	NA	STXBP4	0.861578890914942
252983	Notch signaling pathway	STXBP4	0.00536308055346991
252995	NA	FNDC5	0.861578890914942
2530	Notch signaling pathway	FUT8	0.00536308055346991
253012	NA	HEPACAM2	0.861578890914942
253017	NA	TECRL	0.861578890914942
2531	NA	KDSR	0.861578890914942
253143	NA	PRR14L	0.861578890914942
253152	NA	EPHX4	0.861578890914942
253175	NA	CDY1B	0.861578890914942
253190	NA	SERHL2	0.861578890914942
2532	NA	ACKR1	0.861578890914942
253260	NA	RICTOR	0.861578890914942
2533	NA	FYB1	0.861578890914942
253314	NA	EIF4E1B	0.861578890914942
253314	CCKR signaling map	EIF4E1B	0.0578140083664057
253314	p38 MAPK pathway	EIF4E1B	0.0134613321892095
2534	Axon guidance mediated by semaphorins	FYN	0.0102434838571275
2534	Cadherin signaling pathway	FYN	0.0174300117987772
2534	Integrin signalling pathway	FYN	0.0322857449318889
2534	Parkinson disease	FYN	0.0168937037434302
2534	Angiogenesis	FYN	0.0381851335407058
2534	Axon guidance mediated by Slit/Robo	FYN	0.010511637884801
2534	B cell activation	FYN	0.0215059530194144
2534	CCKR signaling map	FYN	0.0578140083664057
2534	Dopamine receptor mediated signaling pathway	FYN	0.0150166255497158
2534	EGF receptor signaling pathway	FYN	0.0227930923522471
2534	FGF signaling pathway	FYN	0.0230612463799206
2534	Gonadotropin-releasing hormone receptor pathway	FYN	0.0669312453073045
2534	Inflammation mediated by chemokine and cytokine signaling pathway	FYN	0.0403839965676284
2534	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	FYN	0.0134613321892095
2534	Interferon-gamma signaling pathway	FYN	0.00670385069183739
2534	Interleukin signaling pathway	FYN	0.024777432157031
2534	JAK/STAT signaling pathway	FYN	0.00568486538667811
2534	Nicotine pharmacodynamics pathway	FYN	0.0144803174943688
2534	PDGF signaling pathway	FYN	0.0322321141263542
2534	PI3 kinase pathway	FYN	0.0210232757696021
2534	Ras Pathway	FYN	0.0177517966319854
2534	T cell activation	FYN	0.0224176767135042
2534	VEGF signaling pathway	FYN	0.0212914297972756
253430	NA	IPMK	0.861578890914942
253461	NA	ZBTB38	0.861578890914942
2535	Alzheimer disease-presenilin pathway	FZD2	0.0163037648825485
2535	Angiogenesis	FZD2	0.0381851335407058
2535	Cadherin signaling pathway	FZD2	0.0174300117987772
2535	Wnt signaling pathway	FZD2	0.0381315027351711
2535	Hedgehog signaling pathway	FZD2	0.00756194358039258
253512	NA	SLC25A30	0.861578890914942
253558	NA	LCLAT1	0.861578890914942
253559	NA	CADM2	0.861578890914942
253559	Alzheimer disease-presenilin pathway	CADM2	0.0163037648825485
253582	NA	TMEM244	0.861578890914942
253635	NA	GPATCH11	0.861578890914942
253639	NA	ZNF620	0.861578890914942
253650	NA	ANKRD18A	0.861578890914942
2537	NA	IFI6	0.861578890914942
253714	NA	MMS22L	0.861578890914942
253725	NA	WASHC2C	0.861578890914942
253738	NA	EBF3	0.861578890914942
253769	NA	WDR27	0.861578890914942
253782	NA	CERS6	0.861578890914942
2538	Phenylethylamine degradation	G6PC	0.000804462083020487
253827	NA	MSRB3	0.861578890914942
253832	NA	ZDHHC20	0.861578890914942
2539	NA	G6PD	0.861578890914942
253935	NA	ANGPTL5	0.861578890914942
253935	Angiogenesis	ANGPTL5	0.0381851335407058
253935	Blood coagulation	ANGPTL5	0.0147484715220423
253935	Integrin signalling pathway	ANGPTL5	0.0322857449318889
253935	Plasminogen activating cascade	ANGPTL5	0.00573849619221281
253943	NA	YTHDF3	0.861578890914942
253959	NA	RALGAPA1	0.861578890914942
253959	Insulin/IGF pathway-protein kinase B signaling cascade	RALGAPA1	0.011584253995495
253959	p53 pathway by glucose deprivation	RALGAPA1	0.00713289713611498
253980	NA	KCTD13	0.861578890914942
253982	NA	ASPHD1	0.861578890914942
254013	NA	ETFBKMT	0.861578890914942
254042	NA	METAP1D	0.861578890914942
254048	NA	UBN2	0.861578890914942
254050	NA	LRRC43	0.861578890914942
254065	NA	BRWD3	0.861578890914942
254102	NA	EHBP1L1	0.861578890914942
254122	NA	SNX32	0.861578890914942
254158	NA	CXorf58	0.861578890914942
254170	NA	FBXO33	0.861578890914942
254173	NA	TTLL10	0.861578890914942
254187	NA	TSGA10IP	0.861578890914942
2542	NA	SLC37A4	0.861578890914942
254225	NA	RNF169	0.861578890914942
254228	NA	CALHM5	0.861578890914942
254240	NA	BPIFC	0.861578890914942
254240	CCKR signaling map	BPIFC	0.0578140083664057
254251	NA	LCORL	0.861578890914942
254263	NA	CNIH2	0.861578890914942
254263	Coenzyme A biosynthesis	CNIH2	0.00064356966641639
254268	NA	AKNAD1	0.861578890914942
254272	NA	TBC1D28	0.861578890914942
254295	NA	PHYHD1	0.861578890914942
2543	NA	GAGE1	0.861578890914942
254359	NA	ZDHHC24	0.861578890914942
254394	NA	MCM9	0.861578890914942
254394	Apoptosis signaling pathway	MCM9	0.0195216132146305
254394	Parkinson disease	MCM9	0.0168937037434302
254427	NA	PROSER2	0.861578890914942
254428	NA	SLC41A1	0.861578890914942
254439	NA	C11orf86	0.861578890914942
254528	NA	MEIOB	0.861578890914942
254531	NA	LPCAT4	0.861578890914942
254552	NA	NUDT8	0.861578890914942
2547	NA	XRCC6	0.861578890914942
254773	NA	LYG2	0.861578890914942
254778	NA	VXN	0.861578890914942
254783	NA	OR6C74	0.861578890914942
254786	NA	OR6C3	0.861578890914942
2548	NA	GAA	0.861578890914942
254827	NA	NAALADL2	0.861578890914942
254863	NA	TMEM256	0.861578890914942
254879	NA	OR2T6	0.861578890914942
254887	NA	ZDHHC23	0.861578890914942
2549	EGF receptor signaling pathway	GAB1	0.0227930923522471
2549	PDGF signaling pathway	GAB1	0.0322321141263542
254910	NA	LCE5A	0.861578890914942
254950	NA	KRTAP15-1	0.861578890914942
254956	NA	MORN5	0.861578890914942
254973	NA	OR1L4	0.861578890914942
2550	GABA-B receptor II signaling	GABBR1	0.00557760377560871
255022	NA	CALHM1	0.861578890914942
255027	NA	MPV17L	0.861578890914942
255043	NA	TMEM86B	0.861578890914942
255057	NA	CBARP	0.861578890914942
255061	NA	TAC4	0.861578890914942
255061	CCKR signaling map	TAC4	0.0578140083664057
